Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Cote d'Ivoire,CIV,2005,11.44494507,3670.1809218819,18354513.0,Africa
Belgium,BEL,2005,33.9,46341.2896407062,10546885.0,Europe
Finland,FIN,2005,38.3,44786.9096643071,5258933.0,Europe
France,FRA,2005,31.4,41643.9888864457,61120128.0,Europe
Latvia,LVA,2005,25.3,20175.8162019511,2251996.0,Europe
Nicaragua,NIC,2005,4.58559197,4320.75032069298,5438692.0,North America
Turkey,TUR,2006,6.1,19277.5306892695,68756809.0,Asia
Senegal,SEN,2006,5.29975765,2750.19548003222,11382272.0,Africa
Bulgaria,BGR,2006,18.6,15449.4350933122,7631020.0,Europe
Lithuania,LTU,2006,28.1,22977.9966473047,3303329.0,Europe
Austria,AUT,2006,34.7,50767.8484448075,8285344.0,Europe
Portugal,PRT,2006,16.7,31524.7495680309,10542837.0,Europe
Denmark,DNK,2006,43.9,53322.2889991783,5444293.0,Europe
United States,USA,2006,26.62347794,55368.3597189657,297758977.0,North America
Slovenia,SVN,2006,20.4,32817.8881074677,2002427.0,Europe
France,FRA,2006,31.2,42367.5698646841,61508924.0,Europe
Germany,DEU,2006,38.1,45610.7818923168,81472235.0,Europe
New Zealand,NZL,2006,23.02075577,37902.7517600146,4185881.0,Oceania
Iran,IRN,2006,5.204606365,12456.6098815859,70554756.0,Asia
Spain,ESP,2006,22.0,38858.4710684887,44728561.0,Europe
Czechia,CZE,2006,23.7,32352.8129664551,10298609.0,Europe
Netherlands,NLD,2006,35.0,51097.3626113331,16440091.0,Europe
Ireland,IRL,2006,21.9,58960.2155924038,4230619.0,Europe
Latvia,LVA,2006,25.3,22802.3663218124,2225063.0,Europe
Poland,POL,2006,25.1,20111.2996235069,38354447.0,Europe
Italy,ITA,2006,27.9,44918.1703531499,58542619.0,Europe
Nepal,NPL,2006,5.045855451,2330.32508449412,26066687.0,Asia
Malta,MLT,2006,18.9,29612.6017959763,406330.0,Europe
Iceland,ISL,2006,27.4,49956.8486452996,299727.0,Europe
Sweden,SWE,2006,41.3,47292.3136933265,9096170.0,Europe
Uruguay,URY,2006,19.77890368,15188.6444438979,3325403.0,South America
Finland,FIN,2006,38.5,46412.2003478176,5277490.0,Europe
Benin,BEN,2006,10.50150165,2606.8174487853,8216893.0,Africa
Belgium,BEL,2006,33.5,47211.6639573888,10619484.0,Europe
Norway,NOR,2006,43.3,62846.9582138128,4672986.0,Europe
United Kingdom,GBR,2006,31.2,43457.7017735188,60821349.0,Europe
Haiti,HTI,2006,8.616712165,2632.18426741693,9344784.0,North America
Honduras,HND,2006,5.523961152,4733.54786940426,7634295.0,North America
Greece,GRC,2006,19.8,36585.8395603871,11185231.0,Europe
Hong Kong,HKG,2006,16.5122571,46463.5837078363,6802083.0,Asia
Cyprus,CYP,2006,16.0,38930.6130534338,1045508.0,Europe
Hungary,HUN,2006,24.7,25377.0522205332,10055657.0,Europe
Luxembourg,LUX,2006,28.9,107681.016707959,465611.0,Europe
